Transaction_ID,Customer_ID,Product_ID,City,Category,Quantity,Price,Payment_Method,Date,Total_Amount
1001,2415,3045,Salem,Furniture,3,731.19,Cash,2025-05-27,2193.57
1002,2463,3009,Coimbatore,Furniture,9,354.84,Debit Card,2025-02-07,3193.56
1003,2179,3012,Salem,Furniture,9,3738.07,Debit Card,2025-02-16,33642.63
1004,2014,3035,Chennai,Electronics,1,2592.86,Credit Card,2025-06-06,2592.86
1005,2195,3038,Coimbatore,Books,1,2536.05,Debit Card,2025-11-25,2536.05
1006,2426,3045,Madurai,Electronics,8,3503.35,Credit Card,2025-02-12,28026.8
1007,2306,3028,Salem,Electronics,9,658.03,Credit Card,2025-09-02,5922.27
1008,2118,3030,Coimbatore,Groceries,8,172.85,UPI,2025-08-09,1382.8
1009,2299,3030,Chennai,Clothing,5,139.28,Credit Card,2025-12-27,696.4
1010,2229,3023,Salem,Clothing,7,472.49,Credit Card,2025-08-21,3307.43
1011,2244,3048,Trichy,Furniture,8,3721.23,Credit Card,2025-01-02,29769.84
1012,2014,3035,Coimbatore,Clothing,6,3552.31,Credit Card,2025-10-15,21313.86
1013,2374,3046,Trichy,Clothing,1,3630.69,Cash,2025-06-23,3630.69
1014,2153,3023,Salem,Electronics,9,1389.27,UPI,2025-03-29,12503.43
1015,2090,3014,Madurai,Furniture,2,4874.86,Debit Card,2025-06-04,9749.72
1016,2091,3046,Madurai,Clothing,7,3281.87,Credit Card,2025-06-21,22973.09
1017,2256,3049,Salem,Groceries,3,4563.82,Cash,2025-08-31,13691.46
1018,2197,3041,Coimbatore,Groceries,9,2901.94,Cash,2025-08-21,26117.46
1019,2499,3031,Madurai,Electronics,4,2046.24,Debit Card,2025-11-17,8184.96
1020,2091,3030,Coimbatore,Electronics,10,2758.02,UPI,2025-06-28,27580.2
1021,2441,3028,Chennai,Electronics,8,2279.72,Debit Card,2025-05-06,18237.76
1022,2348,3016,Coimbatore,Electronics,4,606.95,Credit Card,2025-08-18,2427.8
1023,2137,3022,Madurai,Furniture,3,2182,Credit Card,2025-04-06,6546
1024,2477,3021,Madurai,Furniture,3,199.55,Credit Card,2025-07-14,598.65
1025,2355,3029,Trichy,Groceries,8,1809.01,UPI,2025-04-16,14472.08
1026,2328,3032,Trichy,Electronics,9,1357.3,Debit Card,2025-08-22,12215.7
1027,2026,3004,Salem,Books,3,222.53,Cash,2025-12-19,667.59
1028,2007,3012,Madurai,Electronics,5,2274.67,Debit Card,2025-08-14,11373.35
1029,2426,3003,Coimbatore,Electronics,3,3425.88,UPI,2025-09-18,10277.64
1030,2137,3014,Chennai,Books,5,2595.41,Debit Card,2025-08-13,12977.05
1031,2254,3045,Trichy,Clothing,9,3997.87,Cash,2025-05-08,35980.83
1032,2211,3030,Madurai,Furniture,10,3821.89,Debit Card,2025-02-07,38218.9
1033,2420,3014,Chennai,Clothing,2,1094.13,Debit Card,2025-09-29,2188.26
1034,2078,3018,Salem,Furniture,5,802.96,Debit Card,2025-04-26,4014.8
1035,2081,3042,Coimbatore,Books,7,1540.39,Cash,2025-01-08,10782.73
1036,2043,3010,Salem,Electronics,9,297.17,Debit Card,2025-06-03,2674.53
1037,2359,3030,Trichy,Groceries,8,2343.22,Debit Card,2025-04-26,18745.76
1038,2373,3050,Madurai,Books,7,4488.24,Debit Card,2025-11-30,31417.68
1039,2332,3025,Madurai,Books,4,475.47,Credit Card,2025-02-20,1901.88
1040,2143,3016,Trichy,Groceries,1,3194.24,Cash,2025-08-18,3194.24
1041,2032,3013,Madurai,Furniture,10,1299.39,Credit Card,2025-08-05,12993.9
1042,2490,3044,Trichy,Electronics,3,1759.77,Debit Card,2025-08-07,5279.31
1043,2109,3026,Chennai,Books,3,965.71,Credit Card,2025-10-18,2897.13
1044,2263,3026,Chennai,Groceries,5,3199.7,UPI,2025-09-17,15998.5
1045,2393,3024,Coimbatore,Groceries,6,1135.88,Debit Card,2025-03-22,6815.28
1046,2425,3031,Salem,Furniture,8,2099.49,Debit Card,2025-04-26,16795.92
1047,2330,3041,Salem,Furniture,4,3518.68,Credit Card,2025-07-06,14074.72
1048,2023,3032,Madurai,Groceries,1,3551.96,Credit Card,2025-10-12,3551.96
1049,2411,3027,Chennai,Electronics,3,3737.47,Cash,2025-06-30,11212.41
1050,2444,3010,Madurai,Groceries,1,3371.04,Credit Card,2025-11-07,3371.04
1051,2309,3026,Chennai,Books,2,2673.18,Debit Card,2025-02-26,5346.36
1052,2135,3010,Coimbatore,Books,9,3686.58,UPI,2025-04-17,33179.22
1053,2309,3002,Chennai,Books,1,1848.49,Debit Card,2025-10-25,1848.49
1054,2411,3006,Madurai,Clothing,1,581.07,Cash,2025-02-17,581.07
1055,2224,3028,Madurai,Furniture,4,2178.27,Debit Card,2025-10-18,8713.08
1056,2166,3002,Salem,Clothing,5,817.08,Cash,2025-10-06,4085.4
1057,2217,3045,Coimbatore,Books,3,4932.56,Debit Card,2025-11-14,14797.68
1058,2290,3047,Madurai,Groceries,8,2227.27,UPI,2025-08-02,17818.16
1059,2477,3018,Trichy,Books,7,2257,UPI,2025-01-19,15799
1060,2069,3018,Chennai,Groceries,5,1805.17,Cash,2025-03-26,9025.85
1061,2072,3011,Salem,Electronics,1,1771.66,Credit Card,2025-09-16,1771.66
1062,2076,3007,Madurai,Clothing,3,4986.37,UPI,2025-11-08,14959.11
1063,2063,3014,Trichy,Books,5,2200.96,UPI,2025-05-15,11004.8
1064,2141,3050,Madurai,Books,4,4374.97,Credit Card,2025-10-22,17499.88
1065,2210,3038,Coimbatore,Clothing,2,1556.98,Credit Card,2025-08-24,3113.96
1066,2353,3034,Trichy,Furniture,4,481.27,Debit Card,2025-08-17,1925.08
1067,2347,3048,Chennai,Electronics,2,2955.18,Debit Card,2025-03-03,5910.36
1068,2153,3018,Coimbatore,Clothing,10,2703.62,Credit Card,2025-12-24,27036.2
1069,2294,3024,Salem,Groceries,3,4180.92,UPI,2025-11-07,12542.76
1070,2277,3009,Trichy,Clothing,3,4451.96,Debit Card,2025-08-19,13355.88
1071,2463,3041,Coimbatore,Groceries,7,2874.33,Credit Card,2025-05-25,20120.31
1072,2041,3001,Salem,Electronics,9,863.58,Credit Card,2025-11-03,7772.22
1073,2431,3034,Madurai,Clothing,5,1489.34,Cash,2025-03-25,7446.7
1074,2090,3050,Salem,Furniture,10,4885.05,Cash,2025-08-01,48850.5
1075,2316,3029,Chennai,Books,10,3133.12,Cash,2025-05-05,31331.2
1076,2223,3026,Coimbatore,Furniture,3,446.03,UPI,2025-10-10,1338.09
1077,2016,3038,Madurai,Electronics,6,1312.24,Credit Card,2025-04-27,7873.44
1078,2116,3050,Salem,Groceries,8,819.3,Credit Card,2025-08-29,6554.4
1079,2094,3035,Coimbatore,Groceries,6,1031.21,Debit Card,2025-05-17,6187.26
1080,2262,3017,Madurai,Books,8,2217.45,Credit Card,2025-01-28,17739.6
1081,2235,3034,Chennai,Electronics,2,3782.36,UPI,2025-06-05,7564.72
1082,2456,3002,Trichy,Books,1,2668.54,Credit Card,2025-10-10,2668.54
1083,2086,3038,Madurai,Electronics,8,3969.23,Debit Card,2025-10-16,31753.84
1084,2342,3038,Madurai,Clothing,9,2891.1,Debit Card,2025-06-04,26019.9
1085,2039,3032,Madurai,Electronics,2,2312.4,UPI,2025-12-01,4624.8
1086,2159,3014,Trichy,Groceries,8,118.98,Debit Card,2025-09-27,951.84
1087,2240,3001,Madurai,Furniture,4,986.61,Debit Card,2025-11-23,3946.44
1088,2209,3036,Salem,Clothing,9,980.78,Credit Card,2025-04-29,8827.02
1089,2374,3020,Chennai,Furniture,7,4193.7,Debit Card,2025-08-08,29355.9
1090,2306,3013,Trichy,Electronics,7,501.35,Debit Card,2025-02-19,3509.45
1091,2497,3047,Chennai,Electronics,7,3900.69,Debit Card,2025-09-01,27304.83
1092,2034,3043,Chennai,Electronics,9,4754.9,UPI,2025-01-15,42794.1
1093,2004,3039,Coimbatore,Electronics,1,4798.91,UPI,2025-05-11,4798.91
1094,2013,3028,Trichy,Groceries,2,2315.44,Cash,2025-03-04,4630.88
1095,2069,3022,Coimbatore,Furniture,9,3064.25,Debit Card,2025-05-02,27578.25
1096,2383,3044,Trichy,Electronics,2,3321.02,UPI,2025-05-03,6642.04
1097,2243,3036,Trichy,Clothing,8,4461.9,Cash,2025-03-08,35695.2
1098,2409,3035,Trichy,Groceries,1,3759.52,UPI,2025-10-22,3759.52
1099,2308,3017,Coimbatore,Groceries,7,450.27,UPI,2025-09-10,3151.89
1100,2278,3006,Madurai,Books,7,1674.96,Debit Card,2025-10-27,11724.72
1101,2089,3034,Madurai,Electronics,6,4232.13,Cash,2025-11-26,25392.78
1102,2416,3038,Salem,Furniture,5,2644.12,Debit Card,2025-11-26,13220.6
1103,2494,3047,Coimbatore,Furniture,9,650.85,Cash,2025-09-05,5857.65
1104,2025,3014,Chennai,Clothing,10,2147.46,Credit Card,2025-10-31,21474.6
1105,2471,3008,Madurai,Groceries,3,1505.64,UPI,2025-11-17,4516.92
1106,2291,3035,Madurai,Clothing,2,4755.35,Credit Card,2025-04-16,9510.7
1107,2424,3040,Salem,Groceries,1,3480.1,UPI,2025-02-19,3480.1
1108,2368,3008,Madurai,Furniture,2,729.24,Cash,2025-05-10,1458.48
1109,2286,3006,Coimbatore,Clothing,1,2977.32,UPI,2025-11-13,2977.32
1110,2396,3026,Chennai,Clothing,3,626.51,Debit Card,2025-06-17,1879.53
1111,2159,3043,Salem,Books,8,819.62,Cash,2025-02-11,6556.96
1112,2121,3004,Chennai,Books,6,2994.14,Credit Card,2025-08-04,17964.84
1113,2110,3011,Trichy,Groceries,6,2099.98,Cash,2025-09-21,12599.88
1114,2158,3020,Chennai,Groceries,8,3372.02,Credit Card,2025-05-04,26976.16
1115,2064,3024,Trichy,Books,5,2805.29,Cash,2025-01-01,14026.45
1116,2483,3023,Trichy,Clothing,8,1154.47,UPI,2025-01-31,9235.76
1117,2398,3004,Trichy,Furniture,6,1457.78,UPI,2025-08-10,8746.68
1118,2477,3049,Coimbatore,Clothing,9,1800.44,Debit Card,2025-10-16,16203.96
1119,2480,3004,Chennai,Furniture,10,2819.13,Debit Card,2025-11-01,28191.3
1120,2199,3020,Trichy,Electronics,10,726.59,Cash,2025-05-02,7265.9
1121,2067,3035,Chennai,Furniture,7,1153.72,Credit Card,2025-11-26,8076.04
1122,2151,3001,Salem,Furniture,10,3249.98,Credit Card,2025-12-30,32499.8
1123,2378,3015,Coimbatore,Books,7,3308.9,Debit Card,2025-02-26,23162.3
1124,2335,3016,Trichy,Electronics,8,2324.5,Credit Card,2025-01-29,18596
1125,2085,3034,Chennai,Electronics,3,3936.17,UPI,2025-07-12,11808.51
1126,2165,3018,Chennai,Furniture,1,2634.51,Cash,2025-05-13,2634.51
1127,2136,3011,Trichy,Furniture,5,3989.21,Debit Card,2025-02-28,19946.05
1128,2051,3033,Madurai,Furniture,7,927.29,UPI,2025-06-19,6491.03
1129,2074,3013,Trichy,Groceries,10,1033.59,UPI,2025-09-30,10335.9
1130,2178,3001,Madurai,Furniture,2,331.31,UPI,2025-09-13,662.62
1131,2362,3035,Trichy,Clothing,9,3013.15,Credit Card,2025-04-13,27118.35
1132,2236,3020,Chennai,Furniture,6,254,UPI,2025-01-07,1524
1133,2098,3012,Trichy,Electronics,9,1535.02,UPI,2025-01-07,13815.18
1134,2330,3016,Coimbatore,Furniture,8,3954.41,Cash,2025-09-10,31635.28
1135,2214,3033,Madurai,Electronics,2,1127.49,UPI,2025-08-29,2254.98
1136,2127,3023,Trichy,Electronics,5,1598.88,UPI,2025-04-06,7994.4
1137,2460,3002,Trichy,Books,4,1207.26,Cash,2025-01-07,4829.04
1138,2212,3004,Madurai,Furniture,10,298.81,Debit Card,2025-02-07,2988.1
1139,2174,3005,Salem,Books,9,2111.01,Cash,2025-05-22,18999.09
1140,2273,3019,Chennai,Groceries,2,1522.39,Debit Card,2025-12-13,3044.78
1141,2446,3035,Chennai,Clothing,2,3308.89,UPI,2025-04-11,6617.78
1142,2302,3034,Chennai,Clothing,9,4445.38,UPI,2025-07-13,40008.42
1143,2310,3040,Chennai,Books,10,647.82,Debit Card,2025-03-25,6478.2
1144,2419,3020,Salem,Books,9,1860.85,Credit Card,2025-08-11,16747.65
1145,2232,3026,Madurai,Clothing,2,3288.99,Cash,2025-01-05,6577.98
1146,2366,3042,Chennai,Groceries,9,4789.31,Debit Card,2025-08-13,43103.79
1147,2243,3005,Chennai,Clothing,9,341.39,Credit Card,2025-06-17,3072.51
1148,2350,3037,Coimbatore,Clothing,7,4815.88,Cash,2025-05-18,33711.16
1149,2335,3022,Chennai,Electronics,1,2985.02,Debit Card,2025-12-01,2985.02
1150,2280,3004,Madurai,Furniture,9,2335.34,Cash,2025-11-14,21018.06
1151,2113,3032,Salem,Groceries,7,2060.7,Credit Card,2025-07-28,14424.9
1152,2471,3015,Trichy,Groceries,7,2335.05,Debit Card,2025-05-10,16345.35
1153,2107,3003,Chennai,Books,2,703.38,Cash,2025-07-19,1406.76
1154,2391,3047,Madurai,Furniture,8,2696.89,Debit Card,2025-12-13,21575.12
1155,2477,3039,Trichy,Clothing,5,3178.19,Credit Card,2025-06-29,15890.95
1156,2463,3015,Coimbatore,Furniture,9,4682.02,UPI,2025-10-28,42138.18
1157,2151,3025,Madurai,Electronics,8,1194.61,Debit Card,2025-01-03,9556.88
1158,2154,3024,Madurai,Books,5,3398.24,UPI,2025-10-08,16991.2
1159,2102,3034,Madurai,Groceries,9,3848.44,Credit Card,2025-11-23,34635.96
1160,2494,3043,Chennai,Furniture,3,1029.09,Debit Card,2025-02-03,3087.27
1161,2255,3040,Coimbatore,Electronics,3,639.13,Cash,2025-04-01,1917.39
1162,2160,3034,Trichy,Electronics,3,3295.15,UPI,2025-09-25,9885.45
1163,2391,3050,Coimbatore,Electronics,8,142.7,Cash,2025-02-24,1141.6
1164,2155,3022,Salem,Furniture,6,2242.29,Cash,2025-12-05,13453.74
1165,2426,3019,Trichy,Furniture,10,2187.05,Cash,2025-03-01,21870.5
1166,2005,3046,Trichy,Books,8,2405.33,Debit Card,2025-03-12,19242.64
1167,2326,3042,Coimbatore,Furniture,6,2869.38,Cash,2025-02-08,17216.28
1168,2272,3003,Madurai,Groceries,9,1918.62,Debit Card,2025-06-22,17267.58
1169,2280,3002,Chennai,Furniture,5,3415.56,Credit Card,2025-11-28,17077.8
1170,2288,3038,Chennai,Groceries,3,1302.91,Credit Card,2025-02-20,3908.73
1171,2277,3032,Coimbatore,Clothing,2,4326.18,Debit Card,2025-02-02,8652.36
1172,2055,3011,Salem,Electronics,5,2121.8,Cash,2025-09-13,10609
1173,2331,3012,Madurai,Furniture,7,4982.9,UPI,2025-01-03,34880.3
1174,2420,3018,Coimbatore,Groceries,8,2427.13,UPI,2025-06-09,19417.04
1175,2492,3030,Trichy,Groceries,9,4872.7,Credit Card,2025-04-19,43854.3
1176,2238,3007,Trichy,Books,10,719.27,Cash,2025-11-13,7192.7
1177,2252,3013,Coimbatore,Furniture,7,3346.04,Credit Card,2025-11-19,23422.28
1178,2339,3013,Coimbatore,Electronics,5,2655.96,Cash,2025-12-18,13279.8
1179,2473,3011,Chennai,Clothing,3,2249.13,Debit Card,2025-08-12,6747.39
1180,2039,3013,Salem,Furniture,5,2096.56,Debit Card,2025-02-25,10482.8
1181,2310,3021,Salem,Groceries,4,4891.47,Cash,2025-03-19,19565.88
1182,2474,3046,Chennai,Electronics,5,913.37,UPI,2025-09-17,4566.85
1183,2137,3010,Chennai,Furniture,9,3636.04,Debit Card,2025-02-11,32724.36
1184,2455,3016,Chennai,Clothing,2,3883.2,Credit Card,2025-01-18,7766.4
1185,2226,3045,Trichy,Groceries,6,1371.34,Cash,2025-05-06,8228.04
1186,2048,3001,Chennai,Furniture,5,1080.42,Credit Card,2025-02-08,5402.1
1187,2077,3007,Madurai,Books,4,3771.53,Credit Card,2025-04-10,15086.12
1188,2083,3035,Chennai,Groceries,5,1053.52,Debit Card,2025-12-04,5267.6
1189,2184,3030,Trichy,Books,9,2843.71,Debit Card,2025-10-20,25593.39
1190,2500,3016,Madurai,Groceries,5,2178.65,Cash,2025-04-04,10893.25
1191,2367,3010,Coimbatore,Furniture,3,2099.6,UPI,2025-06-05,6298.8
1192,2039,3017,Coimbatore,Books,3,3190.47,Debit Card,2025-05-26,9571.41
1193,2196,3001,Coimbatore,Furniture,8,1055.96,Cash,2025-02-25,8447.68
1194,2257,3036,Trichy,Clothing,9,4784.32,Cash,2025-02-20,43058.88
1195,2168,3025,Trichy,Electronics,9,649.1,Debit Card,2025-09-18,5841.9
1196,2286,3002,Madurai,Groceries,4,2770.42,UPI,2025-02-14,11081.68
1197,2094,3034,Trichy,Clothing,3,3066.3,Cash,2025-05-09,9198.9
1198,2500,3037,Trichy,Clothing,6,1222.48,UPI,2025-07-20,7334.88
1199,2473,3005,Chennai,Furniture,3,1399.26,Credit Card,2025-05-29,4197.78
1200,2272,3046,Trichy,Clothing,8,4534.88,Credit Card,2025-02-12,36279.04
1201,2344,3007,Coimbatore,Books,7,458.91,UPI,2025-01-24,3212.37
1202,2310,3034,Chennai,Furniture,7,2165.09,Credit Card,2025-08-02,15155.63
1203,2459,3046,Madurai,Electronics,9,508.78,UPI,2025-10-10,4579.02
1204,2432,3036,Salem,Clothing,8,4186.27,Cash,2025-11-26,33490.16
1205,2020,3044,Madurai,Electronics,7,1836.66,Cash,2025-07-19,12856.62
1206,2360,3040,Trichy,Groceries,3,3559.15,Credit Card,2025-07-13,10677.45
1207,2195,3048,Coimbatore,Clothing,6,4638.58,UPI,2025-11-29,27831.48
1208,2349,3019,Chennai,Furniture,8,2054.15,Credit Card,2025-04-18,16433.2
1209,2164,3033,Coimbatore,Books,3,731.15,Credit Card,2025-05-31,2193.45
1210,2052,3029,Chennai,Groceries,1,3124.06,UPI,2025-10-22,3124.06
1211,2364,3020,Chennai,Groceries,5,3065.37,Cash,2025-12-04,15326.85
1212,2022,3022,Chennai,Electronics,7,4481.46,UPI,2025-05-27,31370.22
1213,2177,3015,Trichy,Books,1,1177.97,UPI,2025-09-14,1177.97
1214,2042,3011,Chennai,Clothing,5,1277.64,UPI,2025-02-22,6388.2
1215,2315,3050,Trichy,Electronics,2,257.55,Credit Card,2025-05-23,515.1
1216,2084,3049,Chennai,Furniture,10,1149.66,Debit Card,2025-02-26,11496.6
1217,2011,3003,Madurai,Electronics,5,1182.97,Cash,2025-11-19,5914.85
1218,2121,3024,Trichy,Groceries,8,3223.2,UPI,2025-09-13,25785.6
1219,2439,3004,Chennai,Groceries,1,1523.06,Cash,2025-07-20,1523.06
1220,2392,3033,Chennai,Books,8,4713.73,UPI,2025-09-03,37709.84
1221,2302,3013,Salem,Books,3,2544.76,Credit Card,2025-04-14,7634.28
1222,2085,3049,Salem,Furniture,7,1855.28,Cash,2025-03-02,12986.96
1223,2365,3048,Madurai,Books,5,2970.71,UPI,2025-08-12,14853.55
1224,2194,3031,Chennai,Electronics,2,2776.61,UPI,2025-01-13,5553.22
1225,2107,3006,Salem,Groceries,4,3687.25,Cash,2025-03-04,14749
1226,2077,3007,Chennai,Groceries,1,2725.32,Credit Card,2025-04-15,2725.32
1227,2430,3039,Coimbatore,Groceries,3,1747.43,Cash,2025-12-31,5242.29
1228,2198,3021,Madurai,Furniture,8,2105.64,UPI,2025-07-24,16845.12
1229,2249,3025,Trichy,Furniture,4,4628.89,Credit Card,2025-05-13,18515.56
1230,2200,3020,Madurai,Books,3,1801.92,UPI,2025-05-16,5405.76
1231,2428,3046,Chennai,Electronics,10,3290.63,Debit Card,2025-09-05,32906.3
1232,2160,3047,Trichy,Clothing,10,2623.69,Credit Card,2025-11-13,26236.9
1233,2250,3005,Trichy,Books,8,1135.62,Debit Card,2025-03-26,9084.96
1234,2292,3031,Trichy,Books,8,2691.83,UPI,2025-05-26,21534.64
1235,2429,3048,Chennai,Furniture,3,2535.62,Credit Card,2025-08-02,7606.86
1236,2398,3033,Coimbatore,Books,2,453.22,Debit Card,2025-09-06,906.44
1237,2016,3010,Salem,Clothing,7,2217.25,Debit Card,2025-01-05,15520.75
1238,2471,3015,Chennai,Books,3,2024.6,UPI,2025-10-12,6073.8
1239,2381,3029,Trichy,Electronics,3,4440.41,UPI,2025-05-11,13321.23
1240,2033,3021,Salem,Groceries,9,208.9,Credit Card,2025-03-10,1880.1
